group_id,timeslot_id,subject_id,teacher_id,room_id
G2,35,30001-1001,T09,R6201
G2,39,31901-2006,T03,R5201
G2,40,31901-2013,T08,R5201
G2,44,31901-2002,T01,R5201
G2,46,30000-1501,T02,R6405
G2,47,30000-1501,T02,R6405
G2,49,31901-2002,T01,R5306
G2,50,31901-2002,T01,R5306
G2,51,31901-2002,T01,R5306
G2,52,31901-2002,T01,R5306
G2,54,31901-2006,T03,R5306
G2,55,31901-2006,T03,R5306
G2,56,31901-2006,T03,R5306
G2,57,31901-2006,T03,R5306
G2,58,30000-2004,T07,R6405
G2,59,30000-2004,T07,R6405
G3,1,30000-1404,T11,R5201
G3,2,30000-1404,T11,R5201
G3,3,30000-1404,T11,R5201
G3,4,30000-1201,T10,R5201
G3,6,30001-1002,T12,R5201
G3,7,30001-1002,T12,R5201
G3,8,30001-1002,T12,R5201
G3,10,30000-1201,T10,R6201
G3,11,30000-1201,T10,R6201
G3,13,31901-2007,T01,R6405
G3,14,31901-2007,T01,R6405
G3,15,31901-2007,T01,R6405
G3,16,31901-2007,T01,R6405
G3,18,31901-2005,T03,R6405
G3,19,31901-2005,T03,R6405
G3,20,31901-2005,T03,R6405
G3,21,31901-2005,T03,R6405
G3,22,30000-2002,T01,R6201
G3,23,30000-2002,T01,R6201
G3,27,30001-1003,T07,R5201
G3,28,30001-1003,T07,R5201
G3,30,31901-2012,T04,R6405
G3,31,31901-2012,T04,R6405
G3,32,31901-2012,T04,R6405
G3,33,31901-2012,T04,R6405
G3,37,30001-1003,T07,R6201
G3,38,30001-1003,T07,R6201
G3,42,31901-2005,T03,R5201
G3,45,31901-2007,T01,R5201
G3,46,31901-2012,T04,R5201
G4,6,31901-2005,T03,R10401
G4,7,31901-2007,T01,R10401
G4,9,30000-1404,T11,R5201
G4,10,30000-1404,T11,R5201
G4,11,30000-1404,T11,R5201
G4,13,30001-1002,T12,R5201
G4,14,30001-1002,T12,R5201
G4,15,30001-1002,T12,R5201
G4,25,31901-2005,T03,R6405
G4,26,31901-2005,T03,R6405
G4,27,31901-2005,T03,R6405
G4,28,31901-2005,T03,R6405
G4,32,30001-1003,T07,R5201
G4,33,30001-1003,T07,R5201
G4,37,31901-2007,T01,R6405
G4,38,31901-2007,T01,R6405
G4,39,31901-2007,T01,R6405
G4,40,31901-2007,T01,R6405
G4,42,31901-2012,T04,R6405
G4,43,31901-2012,T04,R6405
G4,44,31901-2012,T04,R6405
G4,45,31901-2012,T04,R6405
G4,46,30000-1201,T10,R6201
G4,47,30000-1201,T10,R6201
G4,54,30001-1003,T07,R6201
G4,55,30001-1003,T07,R6201
G4,56,30000-1201,T10,R5201
G4,57,31901-2012,T04,R5201
G4,58,30000-2002,T01,R6201
G4,59,30000-2002,T01,R6201
G5,1,31901-2005,T03,R6201
G5,2,31901-2005,T03,R6201
G5,3,31901-2005,T03,R6201
G5,4,31901-2005,T03,R6201
G5,6,31901-2012,T04,R6201
G5,7,31901-2012,T04,R6201
G5,8,31901-2012,T04,R6201
G5,9,31901-2012,T04,R6201
G5,10,31900-1002,T04,R6301
G5,11,31900-1002,T04,R6301
G5,14,31900-1002,T04,R10401
G5,15,31900-0001,T07,R10401
G5,16,31900-1001,T07,R10401
G5,18,30000-1404,T11,R5201
G5,19,30000-1404,T11,R5201
G5,20,30000-1404,T11,R5201
G5,21,30001-1002,T12,R5201
G5,22,30001-1002,T12,R5201
G5,23,30001-1002,T12,R5201
G5,25,31900-0004,T01,R10401
G5,30,31901-2005,T03,R10401
G5,34,31901-2012,T04,R10401
G5,39,30000-1201,T10,R6201
G5,40,30000-1201,T10,R6201
G5,42,30000-2002,T01,R6201
G5,43,30000-2002,T01,R6201
G5,49,31900-0001,T07,R6405
G5,50,31900-0001,T07,R6405
G5,51,31900-0001,T07,R6405
G5,52,31900-0001,T07,R6405
G5,54,31900-0004,T01,R6405
G5,55,31900-0004,T01,R6405
G5,56,31900-0004,T01,R6405
G5,57,31900-0004,T01,R6405
G5,58,30000-1201,T10,R5201
G6,1,20901-2107,T13,R10401
G6,13,20901-2106,T05,R6201
G6,14,20901-2106,T05,R6201
G6,15,20901-2106,T05,R6201
G6,16,20901-2106,T05,R6201
G6,34,20901-2007,T18,R5201
G6,35,20901-2007,T18,R5201
G6,43,20001-1003,T15,R5201
G6,44,20001-1003,T15,R6201
G6,45,20001-1003,T15,R6201
G6,49,20901-2009,T08,R6201
G6,50,20901-2009,T08,R6201
G6,51,20901-2107,T13,R6201
G6,52,20901-2107,T13,R6201
G6,55,20901-2009,T08,R5201
G6,56,20901-8503,T07,R6201
G6,57,20901-8503,T07,R6201
G7,1,20000-1208,T16,R6301
G7,2,20000-1208,T16,R6301
G7,3,20000-2007,T18,R6301
G7,4,20000-2007,T18,R6301
G7,6,20001-1003,T15,R6301
G7,7,20001-1003,T15,R6301
G7,8,20901-2406,T18,R6301
G7,9,20901-2406,T18,R6301
G7,10,20001-1003,T15,R10401
G7,13,20901-8503,T07,R6301
G7,14,20901-8503,T07,R6301
G7,15,20901-9203,T08,R6301
G7,16,20901-9203,T08,R6301
G7,18,20901-2407,T13,R6201
G7,19,20901-2407,T13,R6201
G7,20,20901-2407,T13,R6201
G7,21,20901-2407,T13,R6201
G7,22,20901-2406,T18,R10401
G7,26,20901-9203,T08,R10401
G7,30,20901-2408,T13,R5306
G7,31,20901-2408,T13,R5306
G7,32,20901-2408,T13,R5306
G7,33,20901-2408,T13,R5306
G7,34,20901-2408,T13,R5306
G7,35,20901-2408,T13,R5306
G7,37,20000-1402,T17,R5201
G7,38,20000-1402,T17,R5201
G8,2,21900-1004,T18,R10401
G8,3,21901-2011,T05,R10401
G8,4,21901-2012,T13,R10401
G8,8,21901-2017,T05,R10401
G8,18,21900-1004,T18,R6301
G8,19,21900-1004,T18,R6301
G8,20,21901-2017,T05,R6301
G8,21,21901-2017,T05,R6301
G8,22,21901-2012,T13,R6301
G8,23,21901-2012,T13,R6301
G8,25,21901-2010,T18,R6201
G8,26,21901-2010,T18,R6201
G8,27,21901-2010,T18,R6201
G8,28,21901-2010,T18,R6201
G8,30,21901-2011,T05,R6201
G8,31,21901-2011,T05,R6201
G8,32,21901-2011,T05,R6201
G8,33,21901-2011,T05,R6201
G8,37,21901-2010,T18,R10401
